Acute Lymphocytic Leukemia,,,,,,,,,,,,,,,,,,,,,,,,
Drug name,Drug target,Company,Ticker,Phase,Inclusion Criteria,N,OR(%),CR(%),Durability of response,PR(%),SD(%),Median OS (mo),6 mo OS rate (%),2yr OS (%),Median PFS (mo),AEs,Others,Note,Date of entry,,Disease Snapshot,Pathophysiology,Standard of Care Treatment,Clinical Trial results of SOC/Prognosis
Rituximab + intense chemo,CD20,Biogen,BIIB,2,First line,105,,83,,,,,,80,,"Common Gd3/4non-hematologic AEs included stomatitis/upper GI toxicity (~ 66%), nausea/vomiting (20%), fatigue (26%), rash or erythema multiforme (10%), diarrhea (10%), pulmonary or CNS bleeding (11%), clinically documented infections (72%), neurologic disturbances (8%), and dyspnea (10%). 8 pts (8%) had tumor lysis syndrome (all grade 3). 6.8% died from treatment related causes. ",2 yr EFS 78%. 73% remain in remission at last follow up. Outcome better for <60 yrs old. Survival curve plateaued after 2 yrs.,There were a few other studies using different chemo. Some studies looked into older pts and some into younger pts.,15/10/2,,"ALL is most common form of childhood malignancy, and is 5 times more common than AML. 2500-3500 new cases diagnosed each year in US. Symptoms include: easy bleeding, bone pain, fever, frequent infections, and lymphadenopathy)","ALL occurs when bone marrow makes too many immature lymphocytes and patients have too many lymphoblasts, T cells, and B cells.These over-produced T and B cells do not function as well as normal cells. As lymphocytes proliferate in the bone marrow, there is less capacity for normal RBC or platelets leading to anemia and brusing.",intensive induction chemotherapy,"Over 80 percent of adult patients with newly diagnosed acute lymphoblastic leukemia (ALL) will attain a complete remission (CR) with intensive induction chemotherapy. After further consolidation therapy and maintenance chemotherapy, less than half will have long-term leukemia-free survival; the majority of adults with ALL will ultimately relapse. In addition, up to 20 percent will have primary resistant disease."
Imatinib,"Bcr-Abl, c-KIT, PDGFR",Novartis,NVS,2,"Previously treated and failed: r/r ALL, AML, CML, Gastrointestinal Stromal Tumor*",235,71.5 (hematological),42.1 (hematological); 17 (cytogenetic),,,,,,,,"Most common Gd3/4 AEs: 58% neutropenia, 47% leukopenia, 43% thrombocytopenia, 39% anemia. 6.4% death.",,,15/10/2,,,,,
EBV-CTL folllowing HCT,EBV-infected cells,ATRA,,Ph2,"rituximab-refractory, EBV-associated lymphoproliferative disease (EBV-LPD)*","19 for post HCT
10 for pt who failed rituximab",,"68%(13/19) in post HCT, 70% (7/10) in patients who failed rituximab.",,,,,,,,,,,,,,,,
JCAR014,CD19,JUNO,,Ph1,r/r ALL,23,,91,,,,,,,,29% severe CRS,,,15/10/3,,,,,
JCAR015,,,,Ph1,r/r adult ALL,38,,87,,,,8.5,59,,,"CRS 23% (9/39), gr3/4 neurotox 28% (11/39), gr5 tox 8% (3/39)",MRD 81% (26/32) of those with CR,,15/10/3,,,,,
JCAR017 ,,,,Ph1,r/r pediatric ALL,22,,91,4 relapse (only 1 with CD19+ dz),,,,,,,severe CRS/neurotox in 8 pt (36%),,,15/10/3,,,,,
KTE C19,CD19,Kite,KITE,Ph1 trial,r/r pediatric/ young adult ALL <30yrs old,20,,70,,,,,,,,,"60% MRD- CR, 79% leukemia free survial if MRD- CR",,15/10/3,,,,,
Blinatunomab (Blincyto),CD19,Amgen,AMGN,Ph2 ,Philadelphia chromosome-negative r/r ALL,189 adult pt ,,42% CR or CRh (CR w/ partial hematologic recovery): 32% CR and 9% CRh,CR mean duration 6.7mo,,,6.1,,,5.9 (relapse-free survival),"Gd 3/4 AEs were febrile neutropenia (48 pts, 25%), neutropenia (30 pts, 16%), and anaemia (27 pts, 14%). 2% (3pts) had Gd 3 CRS. Gd ≥3 neurologic events occurred in 13% (24pts). Gd 5 AE 15% (28pts). 3 deaths treatment-related and not related to blinatumomab.",74% MRD responders,Approved; http://www.fda.gov/Drugs/InformationOnDrugs/ApprovedDrugs/ucm425597.htm,15/10/3,,,,,
,,,,Ph1/2 ,r/r ,70 pediatric pt,,32,,,,5.7,,,8.3(relapse-free survival),,77% (10pt) achieving MRD negativity,,15/10/3,,,,,
"Alemtuzumab (""limited activity"")",CD52,,,,"r/r ALL, AML", ,,0,,,,,,,,,,,15/10/3,,,,,
